trip_history_id,trip_origin,trip_destination,trip_mode,actual_origin_latitude,actual_origin_longitude,actual_destination_latitude,actual_destination_longitude,actual_departure_time,actual_arrival_time,actual_travel_time,actual_distance,fuel_economy,fes,average_speed,total_mileage
1c15076d-0de6-45b4-bcd7-f541b187d7a3,"5301 Smiths Cove Lane (39.0025858073526, -76.9152183227039)","387 Technology Dr (38.9924213, -76.9387364)",drive,39.0026523,-76.91528708,38.99310271,-76.93726403,2018-05-08 13:39:05.687+00,2018-05-08 13:47:53.229+00,8,4170.461479,23.85879068,78.8730328,23.00560187,2.589124647
9a832b90-b3c9-4251-b202-4851edcc8256,"6200 Westchester Park Drive (38.9920791245821, -76.899115068868)","Koons Mazda of Silver Spring (39.079978, -76.9492614)",drive,38.99250329,-76.89879583,39.07980324,-76.9491067,2018-05-08 15:51:10.427+00,2018-05-08 16:09:27.721+00,18,16018.25205,28.68899961,100,32.28201518,9.950137052
12a5c497-e101-428d-a19a-a436ab628d5c,"8235 Greenbelt Station Parkway (39.0036953520393, -76.9157487340988)","387 Technology Dr (38.9924213, -76.9387364)",drive,39.00332157,-76.91586187,38.99309872,-76.93726395,2018-05-08 17:39:18.72+00,2018-05-08 17:45:22.194+00,6,3894.496748,25.82544477,100,28.49217135,2.417570483
37716bdc-e285-47e9-b273-9bd4caad9dc8,"4513-4551 Sellman Road (39.0343451640001, -76.9135727082164)","Jeong H. Kim Engineering Building (38.9910562, -76.9381112)",drive,39.03434516,-76.91357271,38.99067909,-76.93771062,2018-05-08 18:51:52.559+00,2018-05-08 20:06:09.602+00,74,8208.915434,7.764773935,20,16.86415281,5.102798519
11a509b3-ab65-48bd-bea4-e26c7037bffa,"4155 Terrapin Trail (38.9957351, -76.9458456)","402 Ridge Rd (39.0112394, -76.8899632)",drive,38.99255765,-76.93939911,39.01109408,-76.88917308,2018-05-08 22:34:28.793+00,2018-05-08 23:36:22.697+00,61,8497.318921,23.38661557,100,8.794398202,5.443098593
db908a35-0c4a-4258-96bd-7468cc3b18ce,"9342 Cherry Hill Road (39.0153879393255, -76.9395654090465)","6200 Westchester Park Dr (38.9921522, -76.8992787)",drive,39.01537151,-76.93956315,38.99253045,-76.8987996,2018-05-09 03:08:23.234+00,2018-05-09 03:20:19.795+00,11,5189.135303,20.00501338,86.23097508,16.1121799,3.22149037
c15627a0-886d-4286-8d50-c3fc24cd4938,"185 Kenilworth Avenue (39.0049044834813, -76.8940095138521)","Terrapin Trail (38.9957351, -76.9458456)",drive,39.00425968,-76.89449893,38.98928028,-76.93704866,2018-05-09 14:43:39.859+00,2018-05-09 15:06:49.852+00,23,7501.462948,15.79363655,21.44056224,11.66237142,4.655323153
48286bdc-a5a7-4eda-bab0-fded7c63cd49,"382 Technology Drive (38.9927191660171, -76.9393708650739)","5342 S Center Dr (39.002088, -76.914318)",drive,38.99274712,-76.93974428,39.00253827,-76.91593389,2018-05-09 16:25:46.806+00,2018-05-09 16:32:38.219+00,6,4124.739815,24.03718009,81.90944839,25.20122625,2.560213335
c075c6a8-59dc-424e-b3bb-9659386607ce,"North Center Drive (39.0023544992952, -76.9152846116967)","United States Postal Service (39.0110102, -76.9278547)",drive,39.0035879,-76.91504315,39.01109108,-76.9261661,2018-05-09 18:24:43.935+00,2018-05-09 18:28:59.392+00,4,2977.50797,24.59450803,91.39588136,26.02587577,1.850346701
cd29e540-3509-40da-bf05-f64851c27af2,"4626-4680 Hollywood Road (39.011276951096, -76.9278857298912)","387 Technology Dr (38.9924213, -76.9387364)",drive,39.01127695,-76.92788573,38.99311209,-76.93726421,2018-05-09 18:42:58.811+00,2018-05-09 18:48:19.163+00,5,3231.348154,24.07556102,82.56274071,25.69830716,2.007471621
55ac32b8-1406-4616-a78f-6fd7b5972d20,"382 Technology Drive (38.9926496657024, -76.9394503914532)","5342 S Center Dr (39.002088, -76.914318)",drive,38.99265182,-76.93965257,39.00252804,-76.91590645,2018-05-09 22:32:33.059+00,2018-05-09 22:42:31.154+00,9,4138.271882,21.48022681,38.38683926,20.17895425,2.568652765
ade74bfb-372b-44d1-8c62-f050009b50c3,"University Boulevard East (38.9991888529996, -76.925598311261)","402 Ridge Rd (39.0112394, -76.8899632)",drive,38.99920684,-76.92563583,39.01114355,-76.88824997,2018-05-10 02:04:49.59+00,2018-05-10 02:13:59.137+00,9,4717.202593,20.97251847,29.74499532,21.19357562,2.928215325
dc04dc2e-69fd-459c-8223-28f1e22bb8d7,"7616-7698 Columbia Pike (39.1603277466799, -76.8881685255448)","Glenn L. Martin Hall (38.988892, -76.9381634)",drive,39.15649141,-76.8907104,38.99002044,-76.93722845,2018-05-10 12:08:28.894+00,2018-05-10 12:51:19.33+00,42,28212.62432,24.00851336,81.42150398,27.59646911,17.53064023
af828ef6-69b2-407d-8c72-52db9889378a,"8200 South Channel Drive (39.002607087641, -76.9153269567312)","387 Technology Dr (38.9924213, -76.9387364)",drive,39.00284237,-76.91520005,38.99309924,-76.93726396,2018-05-10 12:18:26.353+00,2018-05-10 12:28:03.173+00,9,4146.886815,20.5445071,22.45969526,21.94573224,2.574428376
91fb3d57-e235-4af4-8077-18ee0c4b6077," (39.0526435292667, -76.9290956264534)","Columbia Montessori School (39.2224868, -76.8750876)",drive,39.05836593,-76.92562254,39.22123933,-76.87474435,2018-05-10 20:00:50.084+00,2018-05-10 20:25:03.216+00,24,25832.49004,28.69197524,86.45267314,40.43419177,16.05103987
5f3d2242-f92c-4c16-9186-59877842a685,"4626-4680 Hollywood Road (39.0112037770813, -76.9279299863399)","5342 S Center Dr (39.002088, -76.914318)",drive,39.01120529,-76.92772304,39.00254111,-76.91594151,2018-05-10 20:40:26.497+00,2018-05-10 20:52:17.122+00,11,3159.736518,17.58501883,49.00028974,13.29898425,1.963234395
6b9115f1-5d94-4e0e-ba42-15ab72e9c561,"3 H Street Northeast (38.9001988472444, -77.0084168352753)","820 S Arlington Mill Dr (38.8586131, -77.1130333)",drive,38.89540328,-77.00906468,38.85929219,-77.11413991,2018-05-10 20:49:50.368+00,2018-05-10 21:50:47.893+00,60,18244.68707,18.97230072,70.34308797,18.00567914,11.32345163
414397af-0613-4e80-8237-d10c174ecf14,"6030-6098 Westchester Park Drive (38.9921799939569, -76.8987461826634)","Koons Mazda of Silver Spring (39.079978, -76.9492614)",drive,38.9922204,-76.89857229,39.08052597,-76.94777825,2018-05-11 13:08:06.082+00,2018-05-11 13:26:37.339+00,18,20146.88178,28.42920573,79.44548604,42.40009724,12.50976516
df45f9bc-4ccc-4dbf-9532-5223b176961a,"6030-6098 Westchester Park Drive (38.992457063905, -76.8988444470585)","Jeong H. Kim Engineering Building (38.9910562, -76.9381112)",drive,38.99254763,-76.89869131,38.9899071,-76.93723808,2018-05-11 20:15:08.344+00,2018-05-11 20:26:25.241+00,11,6292.01968,23.70106336,76.18831252,25.05113444,3.90992413
7a9b8fe7-c20f-45a7-892c-f54f55015073,"8200 South Channel Drive (39.0027129091686, -76.915289321986)","99 Ranch Market (39.1500725, -77.2061646)",drive,39.00205045,-76.91672481,39.13224739,-77.20690529,2018-05-12 16:30:30.06+00,2018-05-12 17:11:49.465+00,41,37174.85045,26.158541,63.52313343,35.46948588,23.0825447
a8daba82-f410-465d-8b65-47788978ce60,"8125 Greenbelt Road (39.00131088, -76.9166952)","6200 Westchester Park Dr (38.9921522, -76.8992787)",drive,39.0112982,-76.90924454,38.99124466,-76.90052426,2018-05-14 01:45:20.536+00,2018-05-14 01:54:54.224+00,9,5059.564352,23.7068285,76.28644256,25.38855885,3.142904426
9556ec90-af27-4338-9c3c-43b980d4d705,"5320 South Center Drive (39.0024079827406, -76.9151254998241)","387 Technology Dr (38.9924213, -76.9387364)",drive,39.00251543,-76.91525529,38.99315515,-76.93732803,2018-05-14 12:43:03.513+00,2018-05-14 12:51:34.218+00,8,4143.71886,23.71748999,76.46791469,24.72038776,2.572576204
4d8b7082-ccfe-491b-87da-2d703cb95d65,"4467 Technology Drive (38.9928536536535, -76.9384978060396)","5342 S Center Dr (39.002088, -76.914318)",drive,38.99255199,-76.9383896,39.00252964,-76.91592618,2018-05-14 16:33:08.014+00,2018-05-14 16:39:23.234+00,6,3952.64013,22.91338889,62.78108747,24.00279877,2.45353192
8989f5a9-1975-43cf-9c63-b7c940a13115,"6030-6098 Westchester Park Drive (38.992408406957, -76.8989736960054)","Jeong H. Kim Engineering Building (38.9910562, -76.9381112)",drive,38.99238615,-76.89895702,38.98989076,-76.9372354,2018-05-14 18:28:51.186+00,2018-05-14 18:41:06.277+00,12,6348.924293,23.62697084,74.92716331,25.05393208,3.945226104
6a8e38c5-6fc0-43d1-874e-8bf5df4bbeea,"21401-21421 Ridge Road (39.2049701186262, -77.2444262915079)","University of Maryland (38.9869183, -76.9425543)",drive,39.20475743,-77.24525375,38.99797612,-76.94268555,2018-05-15 11:39:06.38+00,2018-05-15 12:38:55.855+00,59,55328.10019,26.87450889,79.43353089,38.60145993,34.35693251
